[2023-02-23T23:28:53.261] [WARN] default - /favicon.ico not found
[2023-02-23T23:28:53.631] [WARN] default - /favicon.ico not found
[2023-02-23T23:28:55.279] [WARN] default - /favicon.ico not found
[2023-02-23T23:28:56.071] [WARN] default - /favicon.ico not found
[2023-02-23T23:28:56.492] [WARN] default - /favicon.ico not found
[2023-02-23T23:28:57.408] [WARN] default - /favicon.ico not found
[2023-02-23T23:28:58.365] [WARN] default - /favicon.ico not found
[2023-02-23T23:28:58.736] [WARN] default - /favicon.ico not found
[2023-02-23T23:28:58.928] [WARN] default - /favicon.ico not found
[2023-02-23T23:28:59.050] [WARN] default - /favicon.ico not found
[2023-02-23T23:28:59.237] [WARN] default - /favicon.ico not found
[2023-02-23T23:28:59.562] [WARN] default - /favicon.ico not found
[2023-02-23T23:28:59.858] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:00.090] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:00.305] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:00.445] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:00.732] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:01.458] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:03.091] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:03.446] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:05.079] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:05.284] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:05.518] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:07.714] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:07.899] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:09.423] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:16.254] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:17.853] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:19.445] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:21.381] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:22.643] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:23.111] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:24.385] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:25.527] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:26.503] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:27.639] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:27.978] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:29.404] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:29.799] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:30.121] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:30.416] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:43.334] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:44.248] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:45.157] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:45.895] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:46.376] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:47.710] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:47.957] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:50.999] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:51.948] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:53.289] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:53.617] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:53.989] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:55.688] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:55.928] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:56.130] [WARN] default - /favicon.ico not found
[2023-02-23T23:29:57.312] [WARN] default - /favicon.ico not found
[2023-02-23T23:30:07.777] [WARN] default - /favicon.ico not found
[2023-02-23T23:30:08.550] [WARN] default - /favicon.ico not found
[2023-02-23T23:30:08.986] [WARN] default - /favicon.ico not found
[2023-02-23T23:30:09.280] [WARN] default - /favicon.ico not found
[2023-02-23T23:30:09.667] [WARN] default - /favicon.ico not found
